timestamp_main,normal_time,P_gpu_W,t_seconds
1628599094.3,2021-08-10 12:38:14.299999952,107.38,13.0
1628599094.4,2021-08-10 12:38:14.400000095,107.38,13.100000000000001
1628599094.5,2021-08-10 12:38:14.500000000,107.58,13.200000000000001
1628599094.6,2021-08-10 12:38:14.599999905,107.6,13.3
1628599094.7,2021-08-10 12:38:14.700000048,107.58,13.4
1628599094.8,2021-08-10 12:38:14.799999952,107.4,13.5
1628599094.9,2021-08-10 12:38:14.900000095,107.38,13.600000000000001
1628599095.0,2021-08-10 12:38:15.000000000,107.4,13.700000000000001
1628599095.1,2021-08-10 12:38:15.099999905,107.58,13.8
1628599095.2,2021-08-10 12:38:15.200000048,107.4,13.9
1628599095.3,2021-08-10 12:38:15.299999952,107.38,14.0
1628599095.5,2021-08-10 12:38:15.500000000,107.36,14.100000000000001
1628599095.6,2021-08-10 12:38:15.599999905,107.6,14.200000000000001
1628599095.7,2021-08-10 12:38:15.700000048,107.4,14.3
1628599095.8,2021-08-10 12:38:15.799999952,107.4,14.4
1628599095.9,2021-08-10 12:38:15.900000095,107.58,14.5
1628599096.0,2021-08-10 12:38:16.000000000,107.38,14.600000000000001
1628599096.1,2021-08-10 12:38:16.099999905,107.36,14.700000000000001
1628599096.2,2021-08-10 12:38:16.200000048,107.4,14.8
1628599096.3,2021-08-10 12:38:16.299999952,107.58,14.9
1628599096.4,2021-08-10 12:38:16.400000095,107.56,15.0
1628599096.5,2021-08-10 12:38:16.500000000,107.38,15.100000000000001
1628599096.6,2021-08-10 12:38:16.599999905,107.58,15.200000000000001
1628599096.7,2021-08-10 12:38:16.700000048,107.56,15.3
1628599096.9,2021-08-10 12:38:16.900000095,107.58,15.4
1628599097.0,2021-08-10 12:38:17.000000000,107.56,15.5
1628599097.1,2021-08-10 12:38:17.099999905,107.54,15.600000000000001
1628599097.2,2021-08-10 12:38:17.200000048,107.54,15.700000000000001
1628599097.3,2021-08-10 12:38:17.299999952,107.54,15.8
1628599097.4,2021-08-10 12:38:17.400000095,107.52,15.9
1628599097.5,2021-08-10 12:38:17.500000000,107.56,16.0
1628599097.6,2021-08-10 12:38:17.599999905,107.52,16.1
1628599097.7,2021-08-10 12:38:17.700000048,107.54,16.2
1628599097.8,2021-08-10 12:38:17.799999952,107.52,16.3
1628599097.9,2021-08-10 12:38:17.900000095,107.34,16.400000000000002
1628599098.0,2021-08-10 12:38:18.000000000,107.52,16.5
1628599098.1,2021-08-10 12:38:18.099999905,107.56,16.6
1628599098.2,2021-08-10 12:38:18.200000048,107.34,16.7
1628599098.4,2021-08-10 12:38:18.400000095,107.34,16.8
1628599098.5,2021-08-10 12:38:18.500000000,107.36,16.900000000000002
1628599098.6,2021-08-10 12:38:18.599999905,107.34,17.0
1628599098.7,2021-08-10 12:38:18.700000048,107.56,17.1
1628599098.8,2021-08-10 12:38:18.799999952,107.34,17.2
1628599098.9,2021-08-10 12:38:18.900000095,107.36,17.3
1628599099.0,2021-08-10 12:38:19.000000000,107.56,17.400000000000002
1628599099.1,2021-08-10 12:38:19.099999905,107.34,17.5
1628599099.2,2021-08-10 12:38:19.200000048,107.36,17.6
1628599099.3,2021-08-10 12:38:19.299999952,107.34,17.7
1628599099.4,2021-08-10 12:38:19.400000095,107.52,17.8
1628599099.6,2021-08-10 12:38:19.599999905,107.34,17.900000000000002
1628599099.7,2021-08-10 12:38:19.700000048,107.34,18.0
1628599099.8,2021-08-10 12:38:19.799999952,197.88,18.1
1628599099.9,2021-08-10 12:38:19.900000095,9580.69,18.2
1628599100.0,2021-08-10 12:38:20.000000000,9328.999999999996,18.3
1628599100.1,2021-08-10 12:38:20.099999905,7528.890000000001,18.400000000000002
1628599100.2,2021-08-10 12:38:20.200000048,6177.320000000001,18.5
1628599100.3,2021-08-10 12:38:20.299999952,8469.160000000002,18.6
